transaction_id,terminal_id,amount_inr,customer_avg_spend_90d,card_age_days,transaction_hour,merchant_category,channel,card_type,city_tier,distance_from_home_km,device_trust_score,is_international,failed_pin_attempts_24h,txn_count_last_1h,merchant_risk_score,days_since_last_chargeback,batch_number,acquirer_code,pos_software_version,is_fraud
TXN95899295,T10945,329.0,619.28,369,12,restaurants,in_store,credit,tier_2,8.2,,0,0,1,0.37,-1,305,1117,4.0,0
TXN88055967,T12094,3024.0,942.29,142,17,fuel,in_store,prepaid,tier_2,495.0,,1,0,1,0.237,-1,438,1123,3.4,1
TXN11071033,T10790,16754.0,39825.27,1278,19,electronics,online,credit,tier_1,50.4,0.804,0,0,1,0.09,-1,244,1114,4.0,1
TXN97853167,T12292,43997.97,25629.64,162,17,grocery,in_store,credit,tier_2,1.3,,0,0,1,0.411,429,164,1124,4.2,0
TXN66035841,T10946,3500.0,,55,23,apparel,in_store,debit,tier_2,3.6,,0,0,1,0.475,-1,47,1101,4.5,1
TXN56678185,T11329,89.0,118.71,844,16,crypto_exchange,in_store,debit,tier_3,2.6,,0,0,1,0.287,-1,216,1110,3.4,0
TXN44784249,T10904,5259.57,4487.88,243,13,electronics,online,credit,tier_1,1630.7,0.656,1,0,1,0.295,203,352,1118,3.1,1
TXN01932942,T11083,114.0,555.6,331,18,fuel,in_store,credit,tier_1,1.7,,0,0,3,0.391,-1,160,1111,4.0,1
TXN22910175,T11251,3500.0,2627.99,377,11,gaming,online,prepaid,tier_3,3005.9,,1,0,1,0.202,-1,204,1110,4.0,1
TXN05108976,T12214,12.97,23.22,3041,19,travel,online,prepaid,tier_1,12.7,0.632,0,0,1,0.268,-1,218,1101,4.5,0
TXN96786755,T10068,57800.0,1039.72,224,12,electronics,in_store,credit,tier_3,5.9,,0,0,1,0.318,-1,86,1110,4.0,0
TXN07899346,T11043,1500.0,3253.07,147,19,restaurants,contactless,debit,tier_1,2.1,,0,0,2,0.067,-1,447,1119,4.2,0
TXN59388548,T10833,2190.0,985.88,718,9,money_transfer,contactless,credit,tier_3,,,0,1,1,0.386,58,40,1108,3.1,1
TXN81521596,T11762,631.0,735.31,99,16,travel,contactless,credit,tier_3,6.6,,0,0,5,0.135,456,349,1121,4.5,0
TXN55244602,T11976,8471.0,,84,10,restaurants,in_store,credit,tier_2,4.3,,0,0,2,0.092,-1,98,1115,4.0,0
TXN35096152,T10818,29360.43,14870.83,260,8,restaurants,contactless,debit,tier_2,3.1,,0,0,1,0.544,-1,198,1103,4.0,0
TXN29514878,T11456,29535.0,,275,18,fuel,contactless,debit,tier_1,18.0,,0,0,2,0.199,-1,499,1104,3.4,1
TXN30576983,T10100,12211.0,6776.36,2830,23,grocery,contactless,debit,tier_1,22.6,,0,0,1,0.076,350,182,1114,3.4,1
TXN35904744,T11203,18188.0,23541.93,838,16,grocery,in_store,credit,tier_3,4.5,,0,0,1,0.556,7,116,1116,4.0,1
TXN52971010,T11176,12.74,31.17,290,18,fuel,in_store,debit,tier_2,12.2,,0,0,2,0.532,188,101,1109,4.2,0
TXN81240631,T10259,18839.52,29827.91,269,20,gaming,in_store,debit,tier_1,8.6,,0,0,1,0.308,-1,236,1114,4.5,0
TXN07876492,T11593,12609.84,,70,12,entertainment,online,debit,tier_1,,0.618,0,0,1,0.11,-1,269,1110,4.5,1
TXN11095162,T11764,1000.0,,86,19,utilities,online,credit,tier_1,138.0,0.768,0,0,2,0.293,175,368,1123,4.2,1
TXN72131403,T11103,11152.86,,45,7,apparel,in_store,prepaid,tier_1,4.8,,0,0,1,0.575,-1,208,1103,4.2,1
TXN27490623,T12345,540847.0,54313.29,456,18,money_transfer,in_store,credit,tier_3,0.9,,0,0,1,0.244,-1,333,1109,4.5,0
TXN93447420,T12478,43780.2,27967.61,154,15,pharmacy,in_store,credit,tier_2,10.5,,0,0,4,0.148,-1,12,1113,3.4,0
TXN80865549,T10864,7036.0,3727.07,973,12,utilities,online,debit,tier_2,562.3,,0,0,2,0.357,-1,431,1106,3.4,1
TXN93924545,T12163,222.0,,250,18,fuel,contactless,credit,tier_2,1.0,,0,0,2,0.04,86,289,1118,3.1,1
TXN43209518,T11303,66.29,,56,13,fuel,in_store,credit,tier_3,1.8,,0,0,1,0.494,-1,463,1105,4.2,0
TXN54615051,T10223,61.0,73.73,2045,9,grocery,in_store,debit,tier_1,1.7,,0,0,1,0.329,-1,30,1117,4.5,0
TXN59395855,T10811,100.0,825.92,298,8,cash_withdrawal,atm,debit,tier_1,6.3,,0,1,1,0.332,-1,144,1117,4.2,1
TXN86935807,T10980,1236.0,,21,16,entertainment,online,debit,tier_1,,,0,0,3,0.515,-1,280,1110,4.5,1
TXN65241561,T11346,1000.0,,29,14,apparel,online,debit,tier_2,27.7,0.799,0,0,1,0.041,-1,38,1115,4.5,0
TXN22422233,T10011,106.12,216.38,684,13,electronics,online,debit,tier_2,,0.654,0,0,2,0.585,-1,394,1118,4.0,1
TXN89925714,T11423,8325.0,7173.92,302,13,fuel,online,prepaid,tier_2,43.8,0.6,0,0,3,0.09,-1,136,1104,4.0,0
TXN48761796,T11634,4814.47,1853.14,1652,15,entertainment,online,debit,tier_1,117.3,0.755,0,0,1,0.18,-1,115,1121,3.4,1
TXN28402072,T11830,395.99,,80,12,money_transfer,online,debit,tier_2,24.6,,0,0,1,0.303,62,389,1105,4.5,1
TXN23425675,T11163,500.0,562.84,790,8,entertainment,in_store,debit,tier_1,2.4,,0,0,4,0.625,38,78,1124,4.5,1
TXN41773160,T12306,93161.73,,68,18,electronics,online,debit,tier_2,5.0,,0,0,1,0.457,-1,137,1106,4.2,1
TXN13899156,T11136,1785.0,1444.18,184,21,apparel,in_store,credit,tier_1,9.7,,0,1,1,0.137,180,318,1106,3.1,0
TXN16808219,T11939,3297.28,9627.41,2036,18,grocery,online,credit,tier_1,2076.3,0.423,1,0,1,0.228,-1,156,1122,4.0,1
TXN35387955,T11798,61.62,170.43,177,13,crypto_exchange,contactless,debit,tier_1,11.7,,0,0,2,0.23,205,218,1114,4.0,1
TXN38556810,T10051,16265.21,11016.02,315,15,pharmacy,in_store,debit,tier_2,1.0,,0,0,1,0.275,-1,197,1105,3.4,0
TXN42991934,T10273,1232.0,3312.58,384,17,fuel,in_store,credit,tier_3,5.7,,0,0,3,0.358,-1,203,1110,4.2,0
TXN17648990,T11810,4196.64,7235.65,367,8,entertainment,online,debit,tier_2,18.8,,0,0,1,0.314,123,427,1124,3.1,0
TXN45718138,T11101,46004.0,7247.4,224,4,grocery,online,debit,tier_2,48.3,0.682,0,0,2,0.302,-1,99,1114,4.5,1
TXN11418931,T10354,184.0,,9,19,pharmacy,contactless,debit,tier_2,,,0,0,1,0.187,-1,168,1101,4.2,0
TXN96050778,T12028,133.28,254.53,278,18,apparel,online,debit,tier_3,21.3,0.718,0,0,1,0.267,-1,205,1110,4.5,0
TXN30598947,T11924,2778.0,,80,22,grocery,in_store,debit,tier_2,21.0,,0,1,1,0.4,-1,3,1114,4.2,1
TXN72127285,T11814,2133.0,1661.51,3330,11,gift_cards,contactless,debit,tier_1,0.7,,0,0,4,0.276,-1,238,1111,4.0,0
TXN05373463,T11549,150897.23,,1093,11,restaurants,in_store,debit,tier_3,11.0,,0,0,1,0.465,-1,96,1118,4.5,1
TXN33257683,T11056,7900.0,11480.48,1310,13,cash_withdrawal,atm,debit,tier_3,3.5,,0,0,1,0.168,-1,290,1113,3.4,1
TXN37396074,T12189,73355.0,57640.44,1389,10,travel,online,debit,tier_2,1.1,,0,0,3,0.698,18,454,1122,3.1,1
TXN54306374,T10388,24877.8,17881.65,1372,9,utilities,contactless,credit,tier_1,9.5,,0,0,1,0.098,8,381,1119,4.2,1
TXN62354580,T11503,6000.0,5284.48,123,22,cash_withdrawal,atm,prepaid,tier_3,41.8,,0,0,1,0.047,-1,23,1120,3.4,0
TXN37327829,T11040,10267.0,4734.85,479,20,electronics,contactless,debit,tier_1,4.0,,0,0,3,0.466,-1,362,1116,4.5,1
TXN90083446,T11759,1074.07,3187.47,155,18,travel,contactless,credit,tier_1,4.2,,0,0,2,0.289,95,288,1112,4.5,1
TXN18978334,T11533,1224.0,913.18,203,11,entertainment,online,credit,tier_2,52.4,0.906,0,0,1,0.417,-1,42,1111,3.1,1
TXN76823007,T11771,3000.0,2413.91,123,14,jewellery,in_store,debit,tier_1,4.1,,0,0,2,0.386,191,102,1103,4.0,1
TXN87975874,T11804,776.53,2424.93,1331,14,grocery,in_store,debit,tier_1,4.1,,0,0,4,0.121,314,288,1108,4.0,1
TXN22286949,T10041,1347.82,1082.19,1178,7,gift_cards,online,debit,tier_3,42.6,0.973,0,0,1,0.287,571,85,1104,3.1,1
TXN22604407,T11288,600.0,762.34,581,13,cash_withdrawal,atm,debit,tier_3,9.2,,0,0,2,0.258,-1,258,1118,4.0,0
TXN99043846,T10455,1000.0,538.89,151,7,grocery,in_store,debit,tier_2,6.9,,0,1,1,0.13,-1,446,1106,3.4,0
TXN71841135,T10661,15248.0,,828,15,pharmacy,contactless,debit,tier_2,3.0,,0,0,1,0.541,204,45,1122,4.0,0
TXN78363394,T10037,6.06,21.8,138,17,restaurants,online,debit,tier_2,7.3,0.772,0,0,3,0.25,682,178,1108,3.1,1
TXN17572425,T12100,7500.0,,57,22,crypto_exchange,online,debit,tier_2,7.4,0.78,0,0,1,0.186,246,352,1108,3.4,1
TXN06917226,T11547,7446.0,,52,19,restaurants,in_store,credit,tier_2,15.0,,0,0,1,0.131,-1,239,1108,3.4,0
TXN60249923,T10792,7331.0,7371.96,1856,13,restaurants,contactless,credit,tier_2,9.1,,0,0,3,0.263,-1,128,1103,4.5,0
TXN18733314,T12339,3376.0,3212.86,2547,19,gaming,online,debit,tier_3,60.8,0.761,0,0,1,0.263,112,497,1116,4.0,0
TXN66385099,T10914,65.99,52.1,1254,19,jewellery,in_store,debit,tier_3,1.3,,0,0,1,0.255,104,481,1118,4.5,0
TXN28151229,T11529,17000.0,9276.1,1133,14,apparel,in_store,debit,tier_2,17.0,,0,1,1,0.374,-1,212,1118,4.0,1
TXN06824772,T11864,285.11,1649.21,4000,22,gaming,online,debit,tier_1,4609.7,,1,0,1,0.217,-1,496,1121,3.4,1
TXN01311495,T11032,2813.0,1629.58,972,15,grocery,online,debit,tier_2,61.6,0.644,0,0,1,0.277,-1,354,1102,4.2,1
TXN98839055,T11884,9061.0,5006.85,519,22,electronics,contactless,credit,tier_1,2.5,,0,0,1,0.209,-1,350,1109,3.1,1
TXN41283774,T10754,362.75,,51,19,grocery,online,debit,tier_1,2.4,0.706,0,0,1,0.269,-1,95,1112,4.0,0
TXN40533260,T11097,595.0,,43,8,fuel,online,debit,tier_2,,0.814,0,0,1,0.465,-1,281,1115,4.5,1
TXN35548807,T10292,1076.0,1442.94,1220,12,money_transfer,online,debit,tier_1,11.0,,0,0,1,0.133,-1,348,1101,4.2,1
TXN45646733,T10466,3916.13,8611.17,766,17,crypto_exchange,in_store,credit,tier_2,0.3,,0,0,1,0.233,10,432,1103,3.1,1
TXN07512513,T10587,2126.0,1448.43,112,21,home_improvement,in_store,debit,tier_1,3.6,,0,1,1,0.272,80,204,1119,4.0,0
TXN07950903,T11631,818.58,178.25,270,20,utilities,online,credit,tier_2,113.7,0.597,0,0,1,0.262,-1,165,1111,4.0,1
TXN96869170,T10307,696.0,1274.41,830,18,gaming,online,credit,tier_1,1.2,0.652,0,0,2,0.334,-1,287,1116,3.1,1
TXN15061259,T11513,9800.0,5896.9,726,20,cash_withdrawal,atm,credit,tier_2,1.8,,0,0,2,0.102,-1,189,1121,3.1,0
TXN56450947,T10583,467.0,283.08,749,0,apparel,contactless,debit,tier_2,3.4,,0,0,1,0.219,207,163,1118,4.5,0
TXN04692700,T10840,23283.0,36688.22,114,8,grocery,online,debit,tier_2,14.2,,0,0,1,0.12,128,456,1104,3.1,1
TXN73844295,T12394,1082.64,488.6,780,19,apparel,contactless,credit,tier_2,2.3,,0,0,4,0.352,2000,332,1117,3.1,0
TXN87174119,T12465,20160.43,11611.21,549,21,grocery,in_store,debit,tier_2,,,0,0,1,0.069,-1,81,1107,3.4,0
TXN98822235,T12430,5700.0,1855.4,208,14,cash_withdrawal,atm,debit,tier_1,0.4,,0,0,1,0.216,-1,10,1122,3.4,0
TXN39303070,T12361,1210.0,1130.59,141,19,restaurants,contactless,debit,tier_2,0.9,,0,0,1,0.329,298,213,1119,3.4,0
TXN96166129,T10285,73500.0,,534,14,electronics,online,debit,tier_1,35.9,,0,0,3,0.12,-1,43,1121,4.2,1
TXN34292942,T12084,200434.0,175698.81,4000,7,home_improvement,online,debit,tier_3,12.3,0.651,0,0,2,0.164,50,202,1124,3.1,0
TXN62745693,T10230,216.49,,55,23,gaming,online,credit,tier_1,13.4,0.993,0,0,2,0.249,-1,196,1104,4.5,1
TXN31019336,T10439,5095.0,3148.81,139,19,gift_cards,online,debit,tier_3,13.5,0.716,0,0,1,0.1,-1,187,1107,4.0,0
TXN76135616,T11049,25000.0,646.51,806,9,grocery,contactless,credit,tier_1,5.5,,0,0,1,0.264,-1,148,1107,4.0,1
TXN38020181,T11061,3387.0,7190.1,157,16,crypto_exchange,online,debit,tier_1,15.7,0.71,0,0,1,0.137,83,443,1107,3.4,0
TXN95436789,T10135,1676.0,,416,20,gaming,online,debit,tier_2,189.8,0.683,0,0,1,0.109,-1,107,1120,3.1,1
TXN18697928,T10780,2500.0,6029.75,141,12,pharmacy,in_store,credit,tier_3,7.5,,0,0,1,0.387,-1,270,1108,4.2,0
TXN65222824,T11121,2000.0,1643.7,560,10,entertainment,online,debit,tier_3,,0.88,0,0,9,0.077,341,132,1117,4.5,0
TXN53602218,T10541,73.03,,49,14,grocery,in_store,debit,tier_1,2.6,,0,0,1,0.423,6,424,1110,4.2,1
TXN77120423,T10158,351.0,749.6,1823,20,fuel,in_store,credit,tier_2,3.5,,0,0,1,0.1,-1,385,1105,4.0,1
TXN74581125,T11067,16375.0,6502.61,134,5,restaurants,in_store,prepaid,tier_1,5.3,,0,0,2,0.159,-1,275,1109,3.1,1
TXN82940856,T11181,1209.0,993.21,183,12,apparel,contactless,credit,tier_1,1.3,,0,0,5,0.277,-1,17,1106,4.2,0
TXN51816795,T11512,77956.1,8029.45,96,14,grocery,contactless,debit,tier_3,1.4,,0,0,2,0.355,-1,161,1102,3.4,1
TXN42116316,T11915,121.69,959.21,490,16,crypto_exchange,online,credit,tier_3,4.8,,0,0,1,0.512,-1,433,1107,3.4,0
TXN46256953,T10374,34600.0,9580.46,1052,15,cash_withdrawal,atm,debit,tier_1,6.5,,0,0,1,0.303,-1,396,1117,4.5,0
TXN22737117,T10531,2200.0,1765.97,98,13,cash_withdrawal,atm,debit,tier_2,0.9,,0,0,2,0.117,-1,310,1117,4.2,0
TXN67409706,T12433,100.0,,12,12,cash_withdrawal,atm,credit,tier_2,2.5,,0,0,1,0.53,-1,201,1108,3.4,0
TXN13654851,T12331,990.0,6289.77,1055,12,apparel,in_store,debit,tier_1,0.8,,0,0,1,0.289,116,467,1120,4.0,1
TXN58834973,T11935,66795.69,13220.56,311,11,restaurants,in_store,credit,tier_1,,,0,0,1,0.237,-1,315,1111,4.2,0
TXN51054320,T11341,336.29,589.33,200,22,apparel,in_store,credit,tier_1,0.8,,0,0,1,0.316,-1,157,1120,3.1,0
TXN01328924,T10930,1900.0,720.08,131,19,cash_withdrawal,atm,debit,tier_3,,,0,0,3,0.234,-1,444,1114,4.0,0
TXN35943932,T10535,56500.0,38748.04,1596,21,home_improvement,in_store,credit,tier_2,0.6,,0,0,5,0.087,338,137,1116,4.5,0
TXN89985757,T12198,58740.0,24234.22,346,10,gaming,online,debit,tier_2,1391.4,0.828,1,0,1,0.244,30,21,1101,4.5,1
TXN80205752,T11732,1902.64,800.29,398,19,grocery,in_store,credit,tier_1,0.6,,0,0,2,0.244,-1,225,1118,3.4,0
TXN81806676,T12318,25013.14,23976.74,1590,16,grocery,online,credit,tier_3,29.4,0.871,0,0,1,0.235,-1,277,1118,4.5,0
TXN04500188,T11876,584.0,397.73,2269,12,restaurants,in_store,debit,tier_2,7.8,,0,0,2,0.181,-1,446,1118,4.0,0
TXN16910378,T10891,2500.0,,375,19,fuel,in_store,credit,tier_2,2.3,,0,0,1,0.197,-1,71,1101,3.4,1
TXN46724496,T10871,4020.0,2966.64,103,17,grocery,contactless,credit,tier_3,4.9,,0,0,1,0.381,-1,345,1102,4.5,0
TXN18875913,T11326,9600.0,9069.75,486,13,cash_withdrawal,atm,debit,tier_3,0.8,,0,0,4,0.216,-1,481,1116,3.4,0
TXN47998821,T11130,10077.0,7322.67,168,10,restaurants,in_store,debit,tier_1,1.2,,0,0,4,0.341,45,129,1112,4.2,1
TXN47907701,T10103,1213.0,,523,9,electronics,online,credit,tier_3,10.5,0.37,0,0,2,0.292,9,212,1114,4.2,1
TXN85813027,T10402,54700.0,,68,13,cash_withdrawal,atm,debit,tier_1,11.3,,0,0,4,0.066,22,126,1111,3.1,0
TXN64284062,T10764,1253.0,1157.29,107,0,utilities,online,credit,tier_3,,0.644,0,0,2,0.379,-1,197,1113,4.2,1
TXN14622630,T12437,151.0,83.55,776,21,electronics,contactless,debit,tier_3,0.6,,0,0,1,0.11,-1,129,1108,3.1,0
TXN95045131,T12236,2831.0,1185.26,293,9,gift_cards,online,credit,tier_2,30.8,0.883,0,0,2,0.427,-1,88,1109,4.0,1
TXN93717410,T12431,1106.0,1802.21,109,6,apparel,online,debit,tier_2,197.2,0.906,0,0,1,0.317,-1,279,1104,3.4,0
TXN51773921,T11421,1100.0,,48,20,cash_withdrawal,atm,debit,tier_1,7.2,,0,0,1,0.544,-1,62,1101,4.2,0
TXN81615208,T10661,17853.47,,970,18,travel,online,credit,tier_3,4.1,0.711,0,0,5,0.396,-1,303,1123,4.0,1
TXN86270450,T12246,5053.89,,40,18,restaurants,in_store,debit,tier_2,2.6,,0,0,5,0.445,196,276,1102,4.0,1
TXN46704662,T12240,2220.0,3053.17,603,21,restaurants,in_store,debit,tier_3,3.1,,0,1,4,0.286,-1,111,1122,3.1,0
TXN54633356,T12332,133.0,171.29,563,11,fuel,in_store,credit,tier_2,0.9,,0,1,1,0.258,-1,14,1104,4.2,0
TXN74443751,T10401,1469.89,1885.05,768,17,restaurants,in_store,prepaid,tier_1,0.2,,0,0,1,0.152,-1,446,1112,4.0,0
TXN85320502,T11095,500.0,1116.59,101,10,entertainment,online,debit,tier_2,,,0,0,1,0.22,167,248,1112,4.5,1
TXN32412781,T11688,685.51,380.15,909,11,home_improvement,online,debit,tier_3,,0.872,0,0,1,0.491,-1,21,1104,3.1,1
TXN02530321,T11430,43220.83,44853.77,239,14,money_transfer,online,debit,tier_3,0.5,,0,0,2,0.325,-1,321,1108,4.0,1
TXN13136649,T11131,474.0,,304,18,restaurants,online,credit,tier_2,283.9,0.641,0,0,1,0.188,-1,232,1107,4.0,0
TXN86688735,T10230,3727.0,3573.49,244,17,electronics,in_store,debit,tier_1,5.2,,0,0,2,0.283,-1,111,1106,4.0,0
TXN37437459,T10222,15722.75,,971,12,home_improvement,in_store,debit,tier_1,9.2,,0,0,1,0.141,339,98,1118,4.0,1
TXN53648423,T12371,1140.0,3609.49,672,10,money_transfer,in_store,debit,tier_2,3.2,,0,0,1,0.278,174,73,1101,3.1,1
TXN30370245,T11647,3121.63,5145.24,578,21,money_transfer,online,debit,tier_3,5.3,0.405,0,0,1,0.214,-1,240,1105,4.0,0
TXN30148760,T11650,1770.0,,37,14,apparel,in_store,debit,tier_3,1.1,,0,0,1,0.266,-1,306,1119,4.0,0
TXN50611116,T10697,804.15,647.35,145,11,utilities,online,debit,tier_1,3.0,0.907,0,0,1,0.247,244,424,1113,3.1,0
TXN79148947,T10546,24500.0,41089.21,991,14,gaming,contactless,credit,tier_3,6.4,,0,0,1,0.547,-1,339,1124,3.1,0
TXN14297651,T10223,44306.71,,69,17,grocery,contactless,debit,tier_3,10.4,,0,0,1,0.311,-1,245,1120,4.0,0
TXN69611271,T10155,9645.0,5225.71,652,20,electronics,online,credit,tier_1,19.0,,0,0,3,0.473,-1,381,1118,4.5,1
TXN74535246,T10226,1158.1,659.05,189,19,gaming,online,credit,tier_2,76.5,,0,0,1,0.157,-1,457,1119,4.0,1
TXN19228130,T11914,1718.0,1803.48,1530,14,gift_cards,in_store,prepaid,tier_2,,,0,0,2,0.124,-1,309,1119,4.0,0
TXN73264637,T10484,158.71,149.9,111,20,grocery,contactless,prepaid,tier_1,33.2,,0,0,1,0.148,35,216,1109,4.0,0
TXN58412873,T10329,12269.73,6129.79,447,18,entertainment,online,debit,tier_1,942.5,0.648,1,0,1,0.288,106,36,1124,4.2,1
TXN43016798,T10580,8289.49,8629.93,117,16,utilities,in_store,debit,tier_3,10.8,,0,0,2,0.34,-1,149,1103,4.0,0
TXN69022837,T10395,169.0,203.5,379,21,grocery,in_store,credit,tier_1,4.8,,0,1,2,0.343,-1,275,1104,3.1,0
TXN47023574,T10454,764.79,699.3,526,9,jewellery,in_store,credit,tier_1,68.2,,0,0,1,0.169,768,494,1118,4.0,1
TXN90559675,T10956,18109.24,7751.03,202,6,utilities,online,debit,tier_1,19.0,0.732,0,0,1,0.729,-1,436,1101,4.0,1
TXN54179556,T12183,2497.87,1989.47,160,11,entertainment,online,credit,tier_2,20.4,,0,0,1,0.273,-1,122,1124,4.0,1
TXN81557756,T10142,7478.13,2586.95,156,10,pharmacy,in_store,debit,tier_2,2.0,,0,0,2,0.183,-1,170,1105,3.4,0
TXN88234460,T10613,397.33,224.59,330,13,restaurants,in_store,debit,tier_3,6.8,,0,0,3,0.3,-1,454,1123,4.2,0
TXN46883284,T12290,973.16,,53,20,jewellery,contactless,debit,tier_1,,,0,0,1,0.23,-1,443,1106,3.1,0
TXN83073648,T12151,16000.0,14613.25,148,18,gaming,in_store,credit,tier_1,7.8,,0,1,1,0.218,442,125,1101,3.1,0
TXN00998191,T11467,3479.34,6955.81,779,15,fuel,contactless,debit,tier_1,5.7,,0,0,2,0.266,-1,10,1101,4.0,0
TXN06037916,T10445,7019.0,3081.29,632,19,apparel,contactless,credit,tier_2,4.5,,0,0,1,0.31,-1,410,1118,3.4,0
TXN75459310,T11833,2936.0,827.92,320,15,grocery,in_store,credit,tier_1,2.9,,0,0,7,0.215,200,450,1118,3.1,0
TXN27823539,T10215,595.0,244.79,1126,20,grocery,in_store,debit,tier_2,9.1,,0,2,1,0.107,120,344,1105,3.4,0
TXN30098599,T12082,969.0,1067.43,520,11,grocery,in_store,debit,tier_2,2.5,,0,1,1,0.342,-1,226,1112,4.2,0
TXN40477746,T10760,95.0,312.0,470,21,electronics,online,debit,tier_2,0.5,0.664,0,0,2,0.48,-1,181,1101,4.5,1
TXN56756863,T10830,3000.77,1371.75,468,20,electronics,online,credit,tier_1,375.8,0.886,0,0,1,0.172,163,230,1103,4.0,1
TXN99577408,T12377,5473.48,7218.39,178,20,utilities,online,debit,tier_2,7.5,0.663,0,0,3,0.086,-1,177,1106,3.4,0
TXN06373680,T11376,947.25,,65,6,fuel,in_store,debit,tier_3,7.5,,0,0,1,0.102,25,177,1116,3.1,0
TXN03150306,T10559,8995.32,18976.67,288,23,grocery,in_store,credit,tier_3,1.0,,0,0,1,0.494,-1,477,1103,3.4,0
TXN52989011,T11756,24729.71,22587.99,309,11,grocery,in_store,credit,tier_1,1.9,,0,0,1,0.451,-1,496,1116,3.1,0
TXN35836417,T11559,12698.0,15324.91,399,9,gift_cards,contactless,credit,tier_1,6.6,,0,0,1,0.398,6,415,1118,4.0,1
TXN95198106,T10683,867.0,686.43,412,22,restaurants,contactless,credit,tier_3,3196.0,,1,0,1,0.294,11,402,1110,4.0,1
TXN39213472,T10163,1629.75,991.63,484,12,grocery,online,credit,tier_3,2.7,,0,0,1,0.36,-1,406,1104,4.5,1
TXN92685521,T11713,1446924.94,6114.56,1486,13,money_transfer,online,credit,tier_1,,0.93,0,0,3,0.105,-1,355,1115,4.5,0
TXN21428449,T10362,4155.0,4058.45,533,14,money_transfer,in_store,debit,tier_3,4.9,,0,0,2,0.383,-1,227,1103,4.0,0
TXN25180391,T11816,9636.0,4355.78,406,17,utilities,contactless,credit,tier_1,7.6,,0,0,1,0.36,-1,421,1106,4.5,0
TXN46863927,T11845,26789.0,15614.32,379,22,restaurants,contactless,credit,tier_1,0.3,,0,0,3,0.518,-1,362,1115,4.2,1
TXN95432064,T10639,105510.97,73280.15,1738,9,restaurants,contactless,debit,tier_1,,,0,1,2,0.335,19,499,1102,4.2,1
TXN74105677,T10089,223851.0,378880.16,598,23,entertainment,in_store,credit,tier_3,8.0,,0,0,1,0.417,-1,101,1119,4.2,0
TXN47707504,T11827,102.2,232.29,2172,8,restaurants,contactless,debit,tier_1,0.7,,0,0,3,0.321,239,380,1102,3.1,0
TXN41338454,T10837,142.0,,260,20,restaurants,in_store,debit,tier_1,17.8,,0,0,2,0.168,-1,333,1103,3.1,1
TXN41506074,T12352,131.0,338.3,133,13,money_transfer,online,credit,tier_1,43.3,0.319,0,0,1,0.128,-1,261,1122,4.2,0
TXN75058107,T10558,6400.0,2065.18,256,18,cash_withdrawal,atm,credit,tier_2,1.3,,0,0,1,0.632,-1,43,1109,3.1,1
TXN37293745,T12304,15057.0,16644.14,169,9,fuel,contactless,credit,tier_1,3.1,,0,0,1,0.092,-1,48,1117,4.0,0
TXN17049398,T12470,7023.0,13051.17,343,11,grocery,contactless,credit,tier_3,3.1,,0,0,1,0.387,80,94,1121,4.5,0
TXN52383789,T10765,3035.0,,561,14,grocery,online,prepaid,tier_2,1.0,0.433,0,0,3,0.088,-1,303,1109,3.4,1
TXN85493156,T10233,2947.57,7436.47,1957,15,grocery,contactless,credit,tier_1,1.8,,0,0,1,0.098,46,300,1114,4.0,1
TXN34310079,T10361,203.0,216.86,753,15,money_transfer,online,credit,tier_2,1146.2,0.944,1,0,2,0.371,-1,92,1120,3.4,0
TXN41405002,T11107,1902.53,1672.32,312,18,money_transfer,online,debit,tier_2,1324.1,0.731,1,0,1,0.222,-1,474,1121,4.5,1
TXN90567397,T10128,10627.0,5624.39,157,16,crypto_exchange,online,debit,tier_3,34.0,,0,0,3,0.078,-1,298,1120,3.4,1
TXN90578362,T12162,1500.0,,68,7,restaurants,in_store,debit,tier_2,4.6,,0,0,2,0.637,-1,203,1108,4.0,1
TXN20009146,T10426,2198.15,1421.53,339,13,crypto_exchange,online,credit,tier_1,10.5,0.316,0,0,1,0.249,1284,258,1118,3.1,1
TXN43964990,T10886,500.0,96.69,125,18,money_transfer,online,debit,tier_3,33.1,0.595,0,0,2,0.094,-1,497,1119,4.5,1
TXN95926523,T12039,633.29,557.72,180,11,restaurants,in_store,debit,tier_1,12.2,,0,0,1,0.301,134,436,1119,4.0,0
TXN46836720,T12048,6816.26,10356.07,97,19,entertainment,contactless,credit,tier_2,2.6,,0,0,3,0.218,-1,143,1107,4.2,0
TXN15208991,T10127,4995.47,,1962,13,home_improvement,in_store,debit,tier_1,2.2,,0,1,1,0.351,-1,187,1109,4.2,0
TXN72814517,T12188,22896.0,30319.35,164,8,fuel,in_store,debit,tier_1,3.2,,0,0,2,0.439,-1,276,1106,3.1,0
TXN36743201,T11145,1152.87,1416.52,907,12,electronics,online,debit,tier_3,2.2,,0,0,4,0.229,69,370,1119,3.1,0
TXN81854683,T11876,5600.0,,1013,17,cash_withdrawal,atm,debit,tier_1,6.3,,0,1,2,0.447,-1,95,1121,4.5,1
TXN51911282,T10799,1255.55,2301.29,132,15,restaurants,online,debit,tier_2,1426.4,0.923,1,0,1,0.114,-1,389,1118,4.0,0
TXN22436232,T10966,1820.02,,82,16,electronics,online,debit,tier_2,1.3,0.825,0,0,2,0.238,448,327,1111,4.2,1
